id;region;vollzeit;einwohner;siedler ;budget_zukunft ;budget_vergangenheit;fachkräfte ;herausforderung_rank_1 ;herausforderung_rank_2 ;herausforderung_rank_3 ;abstimmung;strategische_kommunikation ;leistung ;zusammenarbeit ;geschlechterverteilung ;altersverteilung ;diversitaet ;migration ;regelung_1;regelung_2 ;regelung_3;regelung_4;regelung_5;regelung_6;arbeitsgestaltung_1;arbeitsgestaltung_2;arbeitsgestaltung_3;arbeitsgestaltung_4;arbeitsgestaltung_5;arbeitsgestaltung_6;arbeitsgestaltung_7;arbeitsgestaltung_8;arbeitsweise_1;arbeitsweise_2;arbeitsweise_3;arbeitsweise_4;arbeitsweise_5;arbeitsweise_6;arbeitsweise_7;arbeitsweise_8;arbeitsweise_9;erfolgskontrolle ;rolle ;rolle_kommentar ;kodex ;journalist_1;journalist_2;journalist_3;journalist_4;journalist_gruende_1;journalist_gruende_2;journalist_gruende_3;journalist_gruende_4;journalist_gruende_5;journalist_gruende_6;ki;abschluss ;studium ;kommverband ;weiterbildung_1;weiterbildung_2;weiterbildung_3;weiterbildung_4;weiterbildung_5;weiterbildung_6;weiterbildung_7;leitung;teilbereich  ;bereiche ;anstellung;teilzeit ;beruf_komm;beruf_stelle;weg;alter;geschlecht ;zufrieden 
19;A11;A25;A313;A42;A62;A54;A74;AO01;AO10;AO06;AO04;AO02;AO04;AO03;AO02;AO02;A162b;F174;;Y;Y;;;;Y;;;Y;;;;;;Y;;Y;Y;;;;;A243;F252;;A253b;;;;Y;;;;Y;Y;Y;A275;A284;A291;A294b;Y;Y;;;;Y;;A312;A3116;;A321;;F333;F341;A352;A382;A391;A404
20;A114;A22;A314;A41;A61;A52;A71;AO10;AO03;AO09;AO04;AO02;AO02;AO05;AO02;AO02;A162b;F171;Y;Y;;;;;Y;;;Y;;;;;Y;;;Y;;Y;Y;;;A242;F253;;A253b;;;Y;;Y;;Y;Y;;;A273;A284;A292;A294b;;;Y;;Y;;;A311;;;A322;34;F335;F342;A353;A384;A391;A405
21;A14;A22;A36;A41;A62;A52;A71;AO09;AO01;AO04;AO01;AO03;AO04;AO05;AO02;AO03;A161b;F174;Y;Y;Y;;;;Y;Y;Y;Y;;;Y;;Y;;;Y;;;Y;;;A244;F253;;A251b;Y;;Y;;;Y;;;;;A276;A284;A296;A294b;;;;;;;Y;A314;;;A321;;F333;F343;A356;A384;A391;A405
23;A111;A23;A35;A42;A61;A53;A72;AO05;AO09;AO08;AO01;AO02;AO04;AO05;AO02;AO02;A162b;F171;Y;Y;Y;;Y;Y;Y;;Y;Y;Y;;Y;;Y;Y;Y;Y;Y;Y;Y;;;A242;F255;;A253b;;;Y;;Y;Y;Y;Y;;;A275;A284;A291;A294b;;Y;;;Y;Y;;A312;A3111;;A321;;F335;F345;A353;A383;A391;A404
24;A12;A23;A36;A42;A61;A51;A72;AO05;AO11;AO07;AO04;AO02;AO04;AO05;AO01;AO04;A162b;F171;Y;Y;Y;Y;Y;Y;Y;;;Y;;;Y;;Y;Y;;Y;;Y;Y;;;A243;F254;;A251b;;Y;;;Y;Y;Y;Y;Y;Y;A274;A284;A292;A294b;;;Y;;Y;;;A311;;;A321;;F336;F345;A353;A384;A391;A404
26;A112;A22;A35;A41;A63;A53;A73;AO05;AO03;AO06;AO03;AO01;AO03;AO04;AO01;AO01;A162b;F172;Y;Y;Y;;;;Y;;;;Y;Y;;;Y;;;Y;Y;;;;;A242;F252;;A253b;;Y;;;Y;;Y;Y;;Y;A273;A284;A292;A294b;;Y;Y;Y;;Y;;A311;;;A321;;F335;F341;A351;A383;A391;A404
27;A12;A25;A313;A41;A62;A53;A73;AO01;AO02;AO11;AO01;AO02;AO04;AO04;AO02;AO02;A161b;F172;;;Y;;Y;Y;Y;;Y;;Y;;Y;;Y;Y;;Y;Y;;Y;;;A244;F251;;A253b;;;Y;;Y;Y;Y;Y;Y;Y;A275;A284;A292;A294b;;;;;;;Y;A314;;;A321;;F336;F345;A353;A385;A392;A405
29;A12;A22;A33;A41;A61;A52;A73;AO04;AO11;AO01;AO02;AO01;AO04;AO04;AO02;AO04;A163b;F174;;Y;Y;;;Y;Y;;;Y;;;;;Y;;;Y;;;;;;A244;F255;;A253b;;Y;;;Y;;;Y;;Y;A272;A284;A291;A294b;;;;;;;Y;A314;;;A321;;F334;F344;A353;A382;A391;A404
30;A11;A22;A38;A41;A61;A52;A73;AO01;AO05;AO09;AO02;AO02;AO04;AO03;AO03;AO03;A162b;F171;Y;Y;Y;;Y;;Y;;;Y;;;;;Y;Y;;Y;;;Y;;;A243;F255;;A251b;;Y;;;Y;Y;Y;Y;Y;Y;A274;A283;A297;A294b;;;;;Y;;;A311;;;A321;;F336;F344;A353;A384;A392;A405
33;A111;A23;A313;A42;A62;A52;A73;AO02;AO11;AO01;AO05;AO04;AO02;AO02;AO02;AO03;A162b;F171;;Y;Y;;Y;;Y;;;Y;;;;;;Y;;Y;;;;;;A242;F252;;A251b;;Y;;;Y;Y;Y;Y;Y;Y;A274;A284;A293;A293b;Y;;;;Y;;;A311;;;A321;;F336;F345;A353;A385;A392;A403
34;A12;A22;A35;A42;A61;A51;A72;AO05;AO08;AO06;AO02;AO01;AO05;AO05;AO01;AO03;A161b;F171;;Y;Y;;Y;Y;Y;;Y;Y;;;Y;;;;;Y;;;;;;A244;F252;;A253b;;;Y;;Y;Y;;Y;Y;;A272;A284;A291;A294b;Y;;;;;;;A312;A3113;;A322;30;F335;F345;A351;A383;A391;A405
36;A12;A22;A35;A42;A61;A53;A73;AO04;AO05;AO03;AO04;AO01;AO04;AO05;AO01;AO04;A162b;F171;Y;Y;Y;;;;Y;;;Y;Y;;;;Y;;;Y;;;Y;;;A242;F252;;A251b;;;Y;;Y;Y;Y;Y;Y;Y;A274;A284;A292;A292b;Y;;;;;;;A311;;;A321;;F335;F342;A351;A383;A391;A404
37;A112;A22;A37;A42;A62;A53;A72;AO05;AO11;AO01;AO04;AO05;AO03;AO02;AO03;AO02;A162b;F171;Y;;Y;;;;Y;;;Y;;;;;Y;Y;;Y;;Y;;;;A242;F254;;A251b;;Y;;;Y;;Y;Y;;Y;A274;A284;A292;A294b;;;;Y;;;;A314;;;A321;;F333;F343;A355;A382;A391;A404
39;A12;A22;A310;A42;A61;A54;A74;AO02;AO05;AO06;AO03;AO04;AO04;AO05;AO02;AO04;A162b;F171;Y;Y;Y;;Y;Y;Y;;;;;;;;Y;Y;;Y;;;Y;;;A243;F254;;A253b;;Y;;;Y;;Y;;;Y;A276;A282;A291;A294b;;;;;;;Y;A314;;;A322;31;F336;F346;A356;A385;A391;A404
40;A111;A22;A36;A41;A61;A53;A72;AO09;AO03;AO10;AO03;AO02;AO03;AO03;AO05;AO02;A162b;F172;;;Y;Y;;;Y;;;Y;;;;;Y;;;Y;;;Y;;;A242;F254;;A253b;;Y;;;;;Y;;;Y;A276;A284;A292;A294b;;;;;Y;;;A314;;;A321;;F336;F344;A353;A383;A392;A404
42;A12;A23;A37;A41;A62;A53;A74;AO05;AO04;AO01;AO02;AO02;AO02;AO03;AO02;AO03;A162b;F171;Y;Y;;;Y;Y;Y;;;Y;Y;;;;;;;;;;;;Y;A241;F252;;A253b;;;;Y;Y;Y;Y;Y;Y;Y;A276;A282;A292;A294b;;;Y;;;;;A311;;;A322;32;F334;F342;A354;A383;A392;A402
43;A12;A22;A39;A41;A61;A53;A74;AO01;AO05;AO04;AO03;AO03;AO04;AO04;AO03;AO01;A162b;F171;;;Y;;Y;Y;Y;;;Y;;;;;Y;Y;;Y;;Y;;Y;;A244;F253;;A253b;Y;;;;Y;Y;;Y;Y;Y;A273;A284;A291;A294b;Y;;;;;;;A314;;;A321;;F334;F342;A353;A383;A391;A404
46;A113;A23;A312;A41;A61;A52;A72;AO01;AO05;AO03;AO04;AO05;AO03;AO05;AO02;AO02;A163b;F174;;Y;Y;;;Y;Y;;;Y;;;;;Y;Y;;Y;Y;Y;;;;A243;F252;;A251b;;Y;;;Y;Y;Y;Y;Y;Y;A276;A284;A293;A294b;Y;;;;;;;A312;A3116;;A321;;F336;F345;A351;A384;A391;A403
47;A17;A23;A311;A41;A62;A53;A72;AO07;AO03;AO10;AO01;AO01;AO05;AO05;AO03;AO02;A161b;F172;Y;Y;Y;Y;Y;Y;Y;Y;;;Y;;;;Y;;;;;Y;Y;;;A244;F252;Die Mischung aus den genannten Skills (im Team) ist ein Erfolgsgarant.;A253b;Y;;;;Y;Y;;Y;Y;Y;A272;A282;A297;A292b;;;;;Y;;;A311;;;A321;;F336;F343;A353;A385;A392;A405
48;A12;A22;A35;A41;A61;A52;A72;AO09;AO05;AO01;AO03;AO02;AO03;AO04;AO02;AO03;A162b;F172;;Y;Y;;;;Y;;Y;Y;;;Y;;Y;;;Y;;;;;;A243;F254;;A253b;;;;Y;;;;;Y;Y;A274;A284;A296;A294b;;;;;;;Y;A314;;;A321;;F333;F341;A356;A382;A391;A403
49;A18;A23;A313;A42;A62;A52;A71;AO09;AO11;AO05;AO03;AO04;AO04;AO04;AO02;AO04;A162b;F171;Y;Y;Y;;;Y;Y;;Y;Y;;;Y;;Y;;;Y;;;Y;Y;;A243;F253;;A251b;;Y;;;;Y;Y;Y;;Y;A276;A282;A293;A294b;;;;;;;Y;A311;;;A321;;F336;F346;A352;A385;A392;A404
50;A111;A22;A311;A42;A62;A53;A72;AO01;AO11;AO05;AO02;AO02;AO04;AO05;AO02;AO03;A161b;F172;;Y;;;;;Y;Y;Y;Y;;;;;Y;;;Y;;;Y;;;A243;F255;;A251b;;Y;;;Y;Y;;Y;Y;;A274;A285;A292;A293b;;;;;Y;;;A311;;;A321;;F336;F345;A353;A385;A391;A405
51;A12;A22;A35;A41;A61;A51;A74;AO05;AO09;AO08;AO05;AO04;AO03;AO01;AO01;AO03;A163b;F171;;Y;Y;;;;Y;;;;;;;;Y;Y;;Y;;;Y;;;A243;F252;;A251b;;Y;;;Y;Y;;Y;Y;Y;A276;A284;A291;A294b;Y;;;Y;;Y;;A311;;;A321;;F336;F342;A351;A384;A391;A403
52;A111;A22;A313;A42;A61;A52;A72;AO01;AO09;AO02;AO04;AO04;AO03;AO04;AO02;AO03;A163b;F172;Y;Y;Y;;;;Y;;;Y;;;Y;;;;;Y;;;;;;A244;F255;;A251b;;Y;;;Y;Y;Y;Y;Y;Y;A274;A284;A292;A294b;;;;Y;;;;A312;A3113;;A322;32;F334;F343;A351;A383;A391;A404
53;A111;A23;A312;A41;A63;A52;A72;AO11;AO04;AO07;AO02;AO03;AO04;AO04;AO03;AO04;A162b;F171;Y;Y;Y;;;;Y;;;Y;;;;;Y;Y;;Y;Y;;Y;;;A244;F251;;A251b;;Y;;;Y;Y;Y;Y;Y;Y;A273;A282;A297;A293b;;;;;Y;;;A314;;;A321;;F336;F344;A353;A385;A392;A404
54;A112;A22;A36;A41;A61;A51;A74;AO05;AO03;AO01;AO03;AO05;AO04;AO04;AO01;AO03;A162b;F171;;Y;;;;;Y;;;Y;;;;;;;;Y;;;;;;A243;F253;"Sehe meinen Job als eine Mischung aus allen genannten Punkten; primäre Funktion ist die Aufrechterhaltung eines positiven Gesamtbildes und die Vermittlung der Entscheidungen der Stadt, dennoch kaum Spielraum in Ausgestaltung dessen. 

Würde mich gerne eher im Bereich Öffentlichkeitsarbeiterin mit strategischer Kommunikation verorten, die Führungsebene der Stadt lässt es aber nicht zu.";A251b;Y;;Y;;Y;;Y;Y;Y;;A273;A284;A291;A294b;Y;Y;;;;;;A314;;;A321;;F332;F342;A358;A381;A391;A403
55;A116;A22;A310;A41;A62;A52;A74;AO02;AO03;AO11;AO02;AO04;AO04;AO04;AO04;AO03;A163b;F171;Y;;Y;;;Y;;;;;;;;Y;Y;;;Y;;;;;;A243;F252;;A253b;;;Y;;;;Y;Y;Y;;A274;A284;A292;A294b;;;;;;;Y;A311;;;A321;;F335;F345;A356;A384;A392;A405
56;A111;A24;A312;A42;A61;A52;A73;AO09;AO01;AO03;AO03;AO02;AO03;AO05;AO02;AO02;A162b;F171;Y;;;;Y;Y;Y;;;;;;;;Y;;;;Y;;Y;;;A243;F255;;A251b;;Y;;;Y;Y;Y;Y;Y;Y;A273;A282;A295;A293b;;;Y;;;;;A311;;;A321;;F336;F344;A353;A384;A392;A405
58;A12;A24;A311;A42;A62;A51;A74;AO05;AO03;AO11;AO02;AO02;AO03;AO03;AO02;AO03;A161b;F172;Y;Y;Y;;Y;Y;Y;;;;;;Y;;;Y;;Y;;;;;;A243;F255;;A251b;;Y;;;Y;Y;Y;Y;Y;Y;A274;A284;A292;A294b;;;;Y;;;;A313;;A3121;A321;;F336;F344;A351;A384;A391;A404
59;A12;A22;A34;A42;A61;A52;A74;AO05;AO04;AO08;AO03;AO04;AO05;AO05;AO02;AO03;A162b;F171;Y;;Y;;Y;Y;Y;;;Y;;;;;Y;Y;;Y;;Y;;;;A243;F252;;A253b;;;;Y;Y;;;;;;A276;A284;A292;A294b;;;;;;;Y;A314;;;A322;19,5;F332;F342;A357;A382;A391;A404
60;A111;A22;A36;A41;A62;A52;A72;AO11;AO05;AO04;AO04;AO01;AO05;AO05;AO03;AO03;A161b;F172;;Y;Y;;;Y;Y;Y;Y;Y;Y;Y;Y;;Y;Y;Y;Y;;;Y;;;A245;F252;;A251b;;Y;;;Y;Y;;Y;Y;Y;A276;A282;A297;A293b;;;;Y;;Y;;A311;;;A321;;F335;F343;A357;A384;A392;A405
61;A11;A22;A37;A41;A63;A53;A73;AO05;AO04;AO08;AO01;AO02;AO05;AO04;AO02;AO01;A162b;F172;Y;;Y;;Y;Y;Y;;;Y;;;;;Y;;;Y;;;Y;;;A244;F255;;A253b;;Y;;;Y;Y;Y;Y;Y;Y;A272;A284;A292;A294b;;;;;Y;;;A311;;;A321;;F336;F343;A353;A383;A392;A405
62;A111;A21;A312;A42;A61;A54;A74;AO09;AO05;AO04;AO02;AO02;AO03;AO05;AO02;AO02;A162b;F171;Y;Y;;;Y;Y;Y;;;;;;Y;;Y;;;Y;;;Y;;;A242;F251;;A251b;;;Y;;;Y;;;;Y;A274;A284;A291;A294b;;;;;Y;;;A314;;;A322;30;F335;F345;A353;A383;A391;A404
63;A111;A22;A38;A41;A62;A52;A74;AO11;AO05;AO04;AO03;AO01;AO04;AO05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;A11;A21;A35;A41;A61;A52;A74;AO01;AO08;AO05;AO04;AO04;AO03;AO05;AO01;AO04;A163b;F171;;;Y;;;;Y;;;;Y;Y;;;Y;;;Y;;;Y;;;A243;F255;;A251b;Y;;;;;;;;;;A274;A284;A292;A294b;;;;;Y;;;A314;;;A322;24;F335;F344;A352;A383;A391;A404
65;A12;A23;A310;A41;A61;A52;A71;AO01;AO02;AO04;AO02;AO03;AO04;AO03;AO03;AO04;A161b;F171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;A12;A21;A32;A42;A62;A52;A73;AO11;AO04;AO05;AO03;AO04;AO02;AO05;AO03;AO03;A162b;F171;;;Y;;Y;Y;Y;;;Y;;;;;Y;;;;;;;;;A243;F255;;A253b;;Y;;;Y;;;;Y;Y;A273;A284;A292;A294b;;;;;;;Y;A313;;A3126;A321;;F334;F343;A355;A384;A392;A404
67;A12;A23;A310;A41;A61;A54;A71;AO09;AO04;AO07;AO02;AO01;AO04;AO05;AO02;AO03;A162b;F172;Y;Y;;;Y;;Y;;;Y;;;;;Y;Y;;Y;;Y;Y;;;A244;F251;;A253b;;Y;;;Y;Y;Y;Y;Y;Y;A276;A284;A292;A293b;;;;;Y;;;A314;;;A322;80;F335;F341;A353;A384;A391;A405
70;A12;A22;A33;A42;A62;A52;A73;AO03;AO04;AO01;AO01;AO01;AO02;AO01;AO02;AO01;A163b;F171;Y;;Y;;Y;Y;Y;;;;;;;;Y;;;Y;;;Y;;;A241;F253;;A253b;;Y;;;Y;Y;;Y;Y;;A274;A284;A296;A294b;;;;;;;Y;A311;;;A321;;F336;F343;A356;A385;A392;A405
72;A12;A21;A32;A43;A62;A52;A74;AO04;AO05;AO02;AO02;AO01;AO04;AO05;AO01;AO01;A163b;F171;Y;;Y;;;;Y;;;;;;;;Y;;;Y;;;Y;;;A242;F254;;A253b;;Y;;;Y;;;Y;Y;;A274;A284;A294;A294b;;;;;;;Y;A311;;;A321;;F333;F343;A356;A382;A391;A404
73;A12;A23;A310;A42;A61;A52;A71;AO01;AO08;AO11;AO03;AO01;AO05;AO04;AO02;AO03;A161b;F171;Y;Y;Y;;Y;Y;Y;Y;;Y;Y;;;;Y;Y;;Y;Y;Y;Y;Y;;A244;F252;Eine Mischung aus alle dem.;A251b;;Y;;;;Y;;;;Y;A272;A284;A292;A294b;;;;;Y;;;A311;;;A321;;F336;F343;A353;A384;A391;A405
75;A12;A22;A36;A42;A61;A52;A72;AO07;AO08;AO02;AO03;AO05;AO04;AO04;AO01;AO03;A163b;F171;;Y;;;Y;;Y;;;Y;;;;;Y;Y;;Y;;;;;;A244;F254;;A251b;;;Y;;Y;;Y;;;Y;A274;A284;A292;A294b;;;;;;;Y;A311;;;A321;;F336;F346;A356;A385;A391;A404
77;A12;A21;A33;A42;A62;A52;A74;AO05;AO08;AO06;AO02;AO01;AO04;AO02;AO01;AO03;A163b;F171;Y;;;;;;;;;;;;;Y;Y;;;Y;;;Y;;;A242;F255;;A253b;;Y;;;;Y;;Y;Y;;A274;A284;A292;A294b;;;;;;;Y;A312;;;A321;;F333;F343;A351;A382;A391;A403
79;A12;A23;A310;A42;A61;A52;A71;AO09;AO03;AO08;AO02;AO01;AO04;AO04;AO02;AO04;A162b;F171;;Y;Y;;Y;Y;Y;;;;Y;Y;;;Y;Y;;Y;Y;;Y;;;A244;F255;;A253b;;Y;;;Y;Y;;Y;;Y;A273;A284;A292;A294b;;;;;Y;;;A313;;A3121;A322;27;F333;F343;A353;A383;A391;A405
80;A111;A21;A36;A41;A62;A52;A73;AO11;AO06;AO01;AO04;AO02;AO04;AO04;AO05;AO05;A162b;F171;;;Y;;Y;;Y;Y;Y;Y;;;Y;;Y;;;Y;;Y;;;;A242;F255;;A253b;;Y;;;Y;;Y;Y;Y;Y;A272;A284;A291;A294b;Y;;;;;;;A314;;;A321;;F336;F344;A351;A384;A392;A405
81;A11;A22;A35;A42;A62;A52;A74;AO09;AO05;AO03;AO04;AO02;AO04;AO05;AO01;AO03;A161b;F171;;;Y;;;;Y;;;Y;;;;;Y;Y;;Y;;;;;;A243;F254;;A251b;;Y;;;Y;Y;;Y;;;A274;A284;A292;A294b;;;Y;;Y;;;A314;;;A322;30;F335;F344;A353;A384;A391;A405
82;A12;A23;A310;A42;A61;A52;A72;AO11;AO09;AO02;AO04;AO04;AO04;AO04;AO02;AO04;A162b;F172;Y;Y;Y;;;Y;Y;;Y;;;;Y;;Y;Y;;Y;;;Y;Y;;A244;F253;;A253b;;Y;;;Y;Y;;Y;Y;Y;A273;A284;A291;A293b;Y;;;;Y;Y;;A311;;;A321;;F335;F343;A353;A383;A391;A404
85;A12;A25;A314;A42;A61;A53;A71;AO09;AO11;AO05;AO04;AO03;AO04;AO03;AO03;AO03;A162b;F172;;;Y;;Y;Y;Y;;;;Y;;Y;;;;;;Y;;;;;A242;F256;Es ist wichtig, moderat zu sein. Die Interessen und Bedürfnisse von innen und außen sind zu kennen und anerkennen. Dafür braucht es Geschick und Weitsicht. Vertrauensarbeit wird immer wichtiger.;A251b;;Y;;;Y;Y;Y;Y;Y;Y;A272;A284;A292;A293b;;;Y;Y;;;;A312;A3111;;A321;;F335;F345;A356;A383;A392;A404
86;A115;A24;A313;A42;A62;A52;A72;AO09;AO01;AO04;AO02;AO04;AO03;AO03;AO02;AO04;A162b;F171;;Y;Y;;Y;Y;Y;;;;;;;;;Y;;Y;;;;;;A241;F253;;A253b;;;Y;;Y;Y;;;Y;;A276;A284;A291;A294b;;;;;Y;;;A311;;;A321;;F336;F341;A353;A384;A392;A404
87;A12;A25;A314;A41;A61;A53;A71;AO01;AO05;AO04;AO03;AO04;AO05;AO04;AO03;AO03;A162b;F172;Y;Y;Y;;Y;Y;Y;;;Y;Y;;Y;;;Y;;Y;;;;;;A244;F255;;A253b;;Y;;;Y;;;Y;Y;Y;A272;A285;A292;A292b;;;;;Y;;;A311;;;A321;;F333;F343;A353;A385;A391;A404
88;A12;A21;A31;A41;A62;A53;A74;AO11;AO05;AO09;AO02;AO01;AO04;AO05;AO01;AO01;A162b;F171;;Y;Y;;;;Y;;;Y;;;Y;;Y;Y;;Y;Y;;;Y;;A244;F252;;A251b;;Y;;;Y;;Y;;;Y;A272;A284;A291;A294b;;;;;;;Y;A311;;;A321;;F335;F342;A352;A383;A391;A405
89;A12;A21;A33;A41;A62;A52;A74;AO04;AO09;AO01;AO03;AO03;AO04;AO05;AO01;AO03;A162b;F172;Y;Y;Y;;;Y;Y;Y;;Y;;;;;Y;;;Y;;;Y;Y;;A244;F252;;A253b;;;Y;;Y;Y;;Y;;Y;A273;A284;A291;A293b;Y;;Y;;;;;A313;;A3121;A321;;F336;F342;A353;A384;A391;A404
90;A114;A25;A37;A41;A61;A53;A72;AO05;AO02;AO04;AO03;AO03;AO03;AO04;AO03;AO03;A162b;F171;;;Y;;;;Y;;;;;;;;;Y;;Y;;Y;Y;;;A243;F254;;A253b;;Y;;;Y;;Y;;;Y;A272;A284;A291;A294b;Y;;;;Y;Y;;A311;;;A321;;F335;F343;A353;A383;A391;A403
92;A12;A21;A31;A42;A61;A52;A74;AO11;AO04;AO05;AO05;AO04;AO03;AO04;AO03;AO03;A163b;F171;Y;;Y;Y;;;Y;Y;;Y;Y;;;;Y;;;Y;;;;;;A242;F255;;A251b;;Y;;;Y;Y;Y;Y;Y;Y;A274;A284;A293;A294b;;Y;;;;;;A314;;;A322;25;F336;F344;A352;A385;A391;A404
94;A114;A22;A34;A41;A61;A51;A72;AO11;AO06;AO04;AO02;AO03;AO03;AO04;AO02;AO04;A162b;F171;Y;;;;Y;Y;Y;;;;;;;;Y;Y;;Y;Y;;Y;;;A243;F255;;A253b;;Y;;;Y;Y;Y;Y;Y;Y;A273;A284;A291;A294b;Y;Y;;;Y;Y;;A312;A3111;;A321;;F336;F345;A353;A384;A392;A405
95;A19;A24;A312;A42;A62;A53;A71;AO05;AO11;AO01;AO02;AO03;AO04;AO03;AO02;AO02;A162b;F172;;;Y;;Y;;Y;;;Y;;;;;Y;Y;;Y;;;;;;A243;F254;;A251b;;Y;;;Y;Y;;;Y;Y;A276;A284;A292;A294b;;;;Y;;;;A314;;;A322;29;F335;F343;A351;A383;A391;A404
